application_id,citizen_name,address,district,verified
GM-2026-000166,Pravin Khot,Dairy Society Lane,Kolhapur,true
GM-2026-000167,Sandhya Sutar,Carpenters Lane Village Pen,Raigad,true
GM-2026-000168,Avinash Rane,Gram Samiti Hall,Sindhudurg,true
GM-2026-000169,Geeta Bhalerao,Dr Ambedkar Chowk,Wardha,true
GM-2026-000170,Tushar Dhumal,Hilltop Colony Village Igatpuri,Nashik,true
GM-2026-000171,Usha Kakade,Irrigation Colony,Chandrapur,true
GM-2026-000172,Dhananjay Padwal,Canal Road Village Indapur,Pune,true
GM-2026-000173,Komal Badhe,Gram Panchayat Shop 4,Satara,true
GM-2026-000174,Sharad Sonawane,Railway Station Marg,Chhatrapati Sambhajinagar,true
GM-2026-000175,Pallavi Shinde,Cooperative Society Building,Solapur,true
GM-2026-000176,Chetan Mhaske,Polytechnic Road,Ahilyanagar,true
GM-2026-000177,Rohini Garad,Talathi Karyalaya Chowk,Latur,true
GM-2026-000178,Sameer Bhujbal,Market Yard Gate 2,Nashik,true
GM-2026-000179,Trupti Godse,Old Temple Street,Kolhapur,true
GM-2026-000180,Prashant Shelake,Bypass Circle,Nagpur,true
GM-2026-000181,Shraddha Zende,Mahila Mandal Bhavan,Pune,true
GM-2026-000182,Yogesh Lad,Koliwada Village Malvan,Sindhudurg,true
GM-2026-000183,Dipali Nikam,Gram Library Road,Sangli,true
GM-2026-000184,Harish Salve,Taluka Court Lane,Dhule,true
GM-2026-000185,Rutuja Tambe,Fruit Market Marg,Ratnagiri,true
GM-2026-000186,Girish Tandel,Fishing Harbor Road,Thane,true
GM-2026-000187,Shalini Wani,Bazaar Samiti Ground,Jalgaon,true
GM-2026-000188,Nilesh Misal,Sugar Mill Gate 1,Ahilyanagar,true
GM-2026-000189,Vaishali Khude,Panchayat Samiti Layout,Beed,true
GM-2026-000190,Rupesh Kambale,Police Outpost Road,Solapur,true
GM-2026-000191,Snehal Kolhe,Primary School Lane,Amravati,true
GM-2026-000192,Kishor Mahale,Tribal Settlement Block 4,Palghar,true
GM-2026-000193,Monika Nagpure,Cotton Ginning Mill Road,Yavatmal,true
GM-2026-000194,Pradeep Ogale,High School Ground,Satara,true
GM-2026-000195,Sonali Paranjape,Brahmin Galli Village Junnar,Pune,true
GM-2026-000196,Babu Rathod,Tanda Colony Block A,Nanded,true
GM-2026-000197,Reshma Sayyad,Jamia Masjid Road,Chhatrapati Sambhajinagar,true
GM-2026-000198,Devidas Shirke,Shivaji Statue Circle,Kolhapur,true
GM-2026-000199,Varun Taskar,Engineering College Marg,Nagpur,true
GM-2026-000200,Madhuri Ukirde,Water Filter Plant Road,Raigad,true
GM-2026-000201,Pankaj Vaidya,Ayurvedic Hospital Lane,Nashik,true
GM-2026-000202,Vandana Waykar,Grape Garden Colony,Nashik,true
GM-2026-000203,Karan Yadav,Wrestling School Compound,Kolhapur,true
GM-2026-000204,Bhakti Zope,Banana Market Road,Jalgaon,true
GM-2026-000205,Santosh Ahire,Old Fort Gate,Dhule,true
GM-2026-000206,Tejaswini Bhore,Lake View Road,Satara,true
GM-2026-000207,Dattatray Chormale,Sugar Cane Loading Yard,Solapur,true
GM-2026-000208,Manasi Diver,Sea Coast Lane,Ratnagiri,true
GM-2026-000209,Siddharth Ekbote,Panchayat Sabha Bhavan,Pune,true
GM-2026-000210,Namrata Falke,Cotton Market Gate,Wardha,true
GM-2026-000211,Siddhesh Ghate,Subhash Chowk,Amravati,true
GM-2026-000212,Smita Hire,Collectorate Bypass,Nashik,true
GM-2026-000213,Tanmay Inamdar,Old Wada Road,Pune,true
GM-2026-000214,Vrushali Juvale,Fisheries Office Road,Sindhudurg,true
GM-2026-000215,Hemant Kature,Thermal Power Station Colony,Chandrapur,true
GM-2026-000216,Chitra Lagad,Gram Vikas Kendra,Ahilyanagar,true
GM-2026-000217,Narendra Mandlik,Zilla Parishad Guest House,Kolhapur,true
GM-2026-000218,Sheetal Nimse,Handloom Weaver Colony,Solapur,true
GM-2026-000219,Omkar Phatak,Sanskrit Pathshala Lane,Satara,true
GM-2026-000220,Sayali Raste,Historical Fort Approach,Satara,true
GM-2026-000221,Subodh Shrotri,Panchayat Library,Nagpur,true
GM-2026-000222,Anagha Tipnis,Old Customs House Road,Raigad,true
GM-2026-000223,Vishal Upadhye,Ganesh Temple Marg,Pune,true
GM-2026-000224,Dhanashree Vichare,Sericulture Demonstration Center,Osmanabad,true
